title,price,original_price,rating,reviews,stock,asin,link
AJAZZ AJ159 APEX Wireless Gaming Mouse 2.4G Wired BT|RGB Magnetic Screen Charging Dock|Lightweight|42K Optical Tracking|400mAh Battery |PAW3950APEX Sensor.,PEN 156.22,PEN 165.69,4.6,N/A,In Stock,B0D4M33RJC,https://www.amazon.com/dp/B0D4M33RJC
"AULA SC580X Wireless Gaming Mouse, Tri-Mode 2.4G/BT5.0/USB-C Gaming Mice with 12000 DPI, 6 Programmable Buttons, Rechargeable Computer Mouse for Laptop/PC/Mac/Tablet",PEN 93.66,PEN 104.07,4.6,N/A,In Stock,B0D4QD881Q,https://www.amazon.com/dp/B0D4QD881Q
"Logitech G502 X Plus Lightspeed Wireless RGB Gaming Mouse - Optical Mouse with LIGHTFORCE Hybrid switches, LIGHTSYNC RGB, Hero 25K Gaming Sensor, Compatible with PC - macOS/Windows - Black",,,4.5,N/A,,B092CB69Q4,https://www.amazon.com/dp/B092CB69Q4
"Logitech G305 Lightspeed Wireless Gaming Mouse, Hero Sensor, 12,000 DPI, Lightweight, 6 Programmable Buttons, 250h Battery, On-Board Memory, Compatible with PC, Mac - White",,,4.6,N/A,,B07CMS5Q6N,https://www.amazon.com/dp/B07CMS5Q6N
"Logitech G PRO X Superlight 2 Wireless Gaming Mouse, 60g Pro-Grade with 5 Programmable Buttons, 44k DPI Sensor, 8kHz Report Rate, USB-C Charging for PC/Mac - Black",,,4.5,N/A,,B09NBWL8J5,https://www.amazon.com/dp/B09NBWL8J5
"Logitech G502 Hero High Performance Wired Gaming Mouse, Hero 25K Sensor, 25,600 DPI, RGB, Adjustable Weights, 11 Programmable Buttons, On-Board Memory, PC/Mac - Black",PEN 125.30,PEN 243.68,4.6,N/A,Only 2 left in stock - order soon.,B07GBZ4Q68,https://www.amazon.com/dp/B07GBZ4Q68
"Logitech G305 Lightspeed Wireless Gaming Mouse, Hero Sensor, 12,000 DPI, Lightweight, 6 Programmable Buttons, 250h Battery, On-Board Memory, Compatible with PC, Mac - Black",,,4.6,N/A,,B07CMS5Q6P,https://www.amazon.com/dp/B07CMS5Q6P
"MELOGAGA Wireless Gaming Mouse, 2.4G/Bluetooth 5.4/USB-C 3-Mode Wired/Cordless Game Mice with 8 Adjustable DPI, Ergonomic Rechargeable Computer Mouse for PC, Mac, PS5, Tablet -White",PEN 48.64,PEN 48.64,4.3,N/A,In Stock,B0FSJHP6Z8,https://www.amazon.com/dp/B0FSJHP6Z8
Razer Viper V3 Pro Wireless Esports Gaming Mouse: Symmetrical - 55g Lightweight - 8K Polling - 35K DPI Optical Sensor - Gen3 Optical Switches - 8 Programmable Buttons - 95 Hr Battery - White,PEN 449.13,PEN 557.02,4.6,N/A,In Stock,B0CW25XR5S,https://www.amazon.com/dp/B0CW25XR5S
"ATTACK SHARK X3 Wireless Gaming Mouse, 49g Ergonomic Computer Mouse, Triple Modes PAW3395 26K DPI Optical Sensor, 200h Battery Life, Programmable Buttons, Gaming Accessories for PC/Laptop/Mac (White)",PEN 146.19,PEN 146.19,4.5,N/A,In Stock,B0CCF6J2Q6,https://www.amazon.com/dp/B0CCF6J2Q6
"ASUS ROG Spatha X Wireless Gaming Mouse – MMO/MOBA Design, 12 Programmable Buttons, Right-Handed, 168g, Dual-Mode (Wired/2.4GHz), 19K DPI, up to 67Hr Battery, Magnetic Charging Dock, PC/Mac Support",PEN 442.13,PEN 591.84,4.3,N/A,In Stock,B09726KT4R,https://www.amazon.com/dp/B09726KT4R
"AULA SC580 Wireless Gaming Mouse, Tri-Mode 2.4G/BT5.0/USB-C Gaming Mouse, 12000 DPI Rechargeable Wireless Mouse with 6 Programmable Buttons, Ergonomic Computer Mouse for Laptop/PC/Mac/Tablet",PEN 93.66,PEN 104.07,4.6,N/A,In Stock,B0D4QD1677,https://www.amazon.com/dp/B0D4QD1677
"Redragon M602 Gaming Mouse, Ergonomic RGB Gaming Mouse Wired with 7200 Adjustable DPI, 9 Programmable Buttons, Professional Software for Gamer Office [Black]",PEN 69.60,PEN 73.08,4.6,N/A,In Stock,B011HMDZ0Q,https://www.amazon.com/dp/B011HMDZ0Q
"Corsair Scimitar RGB Elite Wired MOBA/MMO Gaming Mouse – 18,000 DPI – 17 Programmable Buttons – iCUE Compatible – PC, Mac, PS5, PS4, Xbox – Black",PEN 208.86,PEN 313.31,4.2,N/A,In Stock,B0FWR3P1FT,https://www.amazon.com/dp/B0FWR3P1FT
Razer Orochi V2 Mobile Wireless Gaming Mouse: Ultra Lightweight - 2 Wireless Modes - Up to 950hrs Battery Life - Mechanical Mouse Switches - 5G Advanced 18K DPI Optical Sensor - Classic Black,PEN 121.82,PEN 243.68,4.4,N/A,In Stock,B0916N2LPZ,https://www.amazon.com/dp/B0916N2LPZ
Razer Viper V3 Pro Wireless Esports Gaming Mouse: Symmetrical - 54g Lightweight - 8K Polling - 35K DPI Optical Sensor - Gen3 Optical Switches - 8 Programmable Controls - 95 Hr Battery - Faker Edition,PEN 626.65,PEN 626.65,4.6,N/A,In Stock,B0DSCV9HGJ,https://www.amazon.com/dp/B0DSCV9HGJ
Razer Naga V2 HyperSpeed Wireless MMO Gaming Mouse: 19 Programmable Buttons - HyperScroll Technology - Focus Pro 30K Optical Sensor - Mechanical Mouse Switches Gen-2 - Up to 400 Hr Battery Life,PEN 226.27,PEN 348.13,4.1,N/A,In Stock,B0BGJT87N2,https://www.amazon.com/dp/B0BGJT87N2
